sku,group_description,requires_canvas_mask,requires_clipping_mask,print_size_config_id,total_prints,width,height,dpi,background_colour,print_background_colour,forced_orientation,has_canvas_mask_safe_area	,canvas_mask,clipping_mask,overlay_mask,print_template_id,notes_background_colour,notes_description,
ABC8K132-BRANDED,ABC8K132,0,0,0,2,380,250,300,,0,0,0,,null,null,217,black,Tall Thin Chalkboard Sandwich Board,
DDB-21K-BRANDED,DDB-21K,0,0,0,1,265,225,300,,0,1,0,,null,null,190,black,Freestanding Digital Signage with Brochure Holder,
DDB-21K-WL-BRANDED,DDB-21K,0,0,0,1,265,225,300,,0,1,0,,null,null,190,black,Freestanding Digital Signage with Brochure Holder,
DDT01K-BRANDED,DDT01K,0,0,0,1,577,625,300,,0,1,0,,null,null,332,black,Digital Display Totem,
DDT01K-WL-BRANDED,DDT01K,0,0,0,1,506,556,300,,0,1,0,,null,null,332,black,Digital Display Totem,
DDT01W-BRANDED,DDT01W,0,0,0,1,577,625,300,,0,1,0,,null,null,332,black,Digital Display Totem,
DDT01W-WL-BRANDED,DDT01W,0,0,0,1,577,625,300,,0,1,0,,null,null,332,black,Digital Display Totem,
DDT-55K-BRANDED,DDT-55K,0,0,174,1,708,480,300,,0,1,0,,null,null,228,black,Digital Display Totem,
DDT-55K-WL-BRANDED,DDT-55K,0,0,174,1,708,480,300,,0,1,0,,null,null,228,black,Digital Display Totem,
DDV-43KT-BRANDED,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43KT-BRANDED-CMS,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43KT-BRANDED-CMS-3YRS,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
DDV-43KT-WL-BRANDED,DDV-43KT,0,0,0,1,596,625,300,,0,1,0,,null,null,192,black,Digital Display Totem,
